#Genotype_assay_ID,GS_accession_name,Country,GS_id(separated from accession),SampleSet,Subpop
d241d0cb.0,TOS 10483,Guinea-Bissau,IRGC 56723-1,RDP2,trj
d2a73c99.0,D 4-136,Liberia,IRGC 31051-1,RDP2,trj
d2d89b16.0,MERCURY,United States of America,IRGC 77141-1,RDP2,admixed-jap
d2dd5d08.0,MA GU ZI HE,China,IRGC 68212-1,RDP2,admixed-ind
d3810214.0,KUMBI,China,IRGC 752-1,RDP2,ind3
d38fc026.0,TOS 7564,Cote d'Ivoire,IRGC 47017-1,RDP2,admixed
d39ab13b.0,DANGREY,Bhutan,NA,RDP2,admixed-jap
d3eeb956.0,C 4-63 G,Philippines,IRGC 16331-C1,RDP2,ind2
d45d02c6.0,CT 9993-5-10-1-M,Colombia,IRGC 116974-1,RDP2,admixed-jap
d494ff24.0,EL PASO L 227,Uruguay,IRGC 116979-1,RDP2,admixed-ind
d4ba0ebd.0,MIKHUDEB,Bangladesh,IRGC 25892-1,RDP2,trj
d4dd88ed.0,JHONA 26,Pakistan,NA,RDP2,aus
d4e5155a.0,ARAGUAIA,Brazil,IRTP 17399-C1,RDP2,trj
d4f656cf.0,BADARI,India,IRGC 74722-1,RDP2,aro
d4f79343.0,HUO SHAO TZU WU CHAN,Taiwan,IRGC 65097-1,RDP2,ind1
d61197d3.0,KUAN CHIN,Taiwan,IRGC 5589-1,RDP2,ind1
d64eaed2.0,URYEE BOOTA,India,IRGC 74719-1,RDP2,aus
d66638c8.0,PATIK,Indonesia,NA,RDP2,trj
d6eadc4d.0,SANG DO,Korea, Republic of,IRGC 19850-1,RDP2,tej
d75343a8.0,BOMBA,Spain,GERVEX 518-C1,RDP2,admixed-jap
d7aee7e3.0,NAYIMA,Iraq,IRGC 9503-1,RDP2,admixed-ind
d7e9eece.0,HONG ZUI ER,China,IRGC 72706-1,RDP2,ind1
d809159c.0,SUNBONNET,United States of America,IRGC 137-1,RDP2,trj
d81713a6.0,JI BO YA,Congo,IRGC 77446-1,RDP2,trj
d8b43d1a.0,BRITISH GUIANA 79,Guyana,IRGC 6064-1,RDP2,ind3
d8d968e8.0,GHASELU MAP,Bhutan,IRGC 72527-1,RDP2,admixed-jap
d8ee9654.0,SUKHIMMI,Bhutan,IRGC 67849-1,RDP2,admixed
d8f93ae8.0,ALTAMIRA 7,Nicaragua,IRGC 116952-1,RDP2,admixed-ind
d94e2d1b.0,M 401,United States of America,IRGC 57084-1,RDP2,tej
d9659299.0,BAKAW,Philippines,IRGC 11169-1,RDP2,trj
d9693870.0,IR 52,Philippines,IRGC 53434-C1,RDP2,ind2
d9812864.0,SEENETTI,Sri Lanka,IRGC 47414-1,RDP2,aus
d9a92db4.0,JHUM SONALICHIKON,Bangladesh,IRGC 25874-1,RDP2,aus
da21922c.0,HWINBE,Korea, Republic of,IRGC 77660-1,RDP2,tej
daeaa296.0,REXARK,United States of America,IRGC 6313-1,RDP2,trj
db083205.0,SHONTH,India,IRGC 74717-1,RDP2,ind3
db0b4169.0,IR 59469-2B-3-2,Philippines,IRGC 99703-1,RDP2,ind2
db9c335a.0,ROJOMENA 1034,Madagascar,GERVEX 8412-C1,RDP2,admixed-ind
dbd6c824.0,ARC 12973,India,IRGC 22499-1,RDP2,ind3
dc353d6b.0,PATO DE GALLINAZO Y 5371,Australia,IRGC 5766-1,RDP2,trj
dc4ecf81.0,PADI BOENAR,Indonesia,IRGC 9147-C1,RDP2,trj
dcd0303e.0,FANDRAPOTSY 104,Madagascar,IRGC 10984-C1,RDP2,ind3
dcf9ec66.0,COLINA,Spain,GERVEX 524-C1,RDP2,tej
dd1277e6.0,KETAN MERAH,Indonesia,IRGC 24977-1,RDP2,trj
dd6f07f2.0,KHAU MEO,Viet Nam,IRGC 78330-1,RDP2,admixed-jap
dd7514b5.0,MALADY,Madagascar,GERVEX 8402-C1,RDP2,admixed-ind
ddaead61.0,RACE,Sri Lanka,IRGC 15706-1,RDP2,ind3
de22acec.0,KATI,Bhutan,IRGC 67838-1,RDP2,ind3
