#Genotype_assay_ID,GS_accession_name,Country,GS_id(separated from accession),SampleSet,Subpop
IRIS_313-11147,TYB 11,Myanmar,IRGC 33821-2,3KG,ind3
IRIS_313-11148,YEBAW,Myanmar,IRGC 33875-2,3KG,admixed-ind
IRIS_313-11149,YODAYA,Myanmar,IRGC 33901-2,3KG,ind2
IRIS_313-11150,ZEINGYI,Myanmar,IRGC 33923-2,3KG,ind3
IRIS_313-11151,E 21,Myanmar,IRGC 33929-2,3KG,admixed-ind
IRIS_313-11152,AC 74,India,IRGC 33967-1,3KG,ind1
IRIS_313-11153,CT 45,India,IRGC 34027-2,3KG,admixed-jap
IRIS_313-11154,DHARIAL,Bangladesh,IRGC 34034-1,3KG,aus
IRIS_313-11155,K 113,India,IRGC 34107-1,3KG,tej
IRIS_313-11156,KHUDWANI ACC 202,India,IRGC 34154-1,3KG,admixed-jap
IRIS_313-11157,T KAUG PAO,Taiwan,IRGC 34182-1,3KG,ind1
IRIS_313-11158,NAN ERH AI 5,China,IRGC 34255-1,3KG,ind1
IRIS_313-11159,HYB 5-2-1-1-4,Cote d'Ivoire,IRGC 34283-2,3KG,trj
IRIS_313-11160,B 38,Liberia,IRGC 34409-1,3KG,ind2
IRIS_313-11161,SADU,Liberia,IRGC 34514-2,3KG,trj
IRIS_313-11162,SABRAN,Indonesia,IRGC 34630-1,3KG,ind2
IRIS_313-11163,NATEL BORO,Bangladesh,IRGC 34749-1,3KG,aus
IRIS_313-11164,BAK TULSI,India,IRGC 34831-1,3KG,aus
IRIS_313-11165,BENA JHUPI,India,IRGC 34850-2,3KG,admixed-ind
IRIS_313-11166,BHUT MURI,India,IRGC 34861-1,3KG,aus
IRIS_313-11167,DUBRAJ,India,IRGC 34904-1,3KG,ind3
IRIS_313-11168,KADA CHOPA,India,IRGC 34954-1,3KG,aus
IRIS_313-11169,KANAI BASHI,India,IRGC 34967-1,3KG,aus
IRIS_313-11170,LAL TAURA,India,IRGC 35017-1,3KG,aus
IRIS_313-11171,M 142,India,IRGC 35054-1,3KG,aus
IRIS_313-11172,RANI BHOG,India,IRGC 35109-1,3KG,aus
IRIS_313-11173,SADA AUS,India,IRGC 35117-1,3KG,aus
IRIS_313-11174,SLO 19,India,IRGC 35157-1,3KG,aus
IRIS_313-11175,SONA AUS,India,IRGC 35160-1,3KG,aus
IRIS_313-11176,SXC 216,India,IRGC 35175-1,3KG,admixed-ind
IRIS_313-11177,DELI POCONG,Indonesia,IRGC 35265-1,3KG,ind2
IRIS_313-11178,RUJAK DANAN,Indonesia,IRGC 35446-2,3KG,ind2
IRIS_313-11179,SI OMPAN LAMA,Indonesia,IRGC 35481-1,3KG,ind2
IRIS_313-11180,SIPULUIK ARANG,Indonesia,IRGC 35488-2,3KG,ind2
IRIS_313-11181,TAMBA PERAK,Indonesia,IRGC 35534-2,3KG,ind2
IRIS_313-11182,CEMPO CINA,Indonesia,IRGC 35581-2,3KG,ind2
IRIS_313-11183,KETAN LEMBAYUNGAN,Indonesia,IRGC 35745-2,3KG,trj
IRIS_313-11189,PAIZ AMBARBU,Union of Soviet Socialist Republics (Former),IRGC 36179-1,3KG,admixed
IRIS_313-11191,RANRUWAN,Sri Lanka,IRGC 36360-1,3KG,aus
IRIS_313-11192,BKN 7130-1017-2,Thailand,IRGC 36531-2,3KG,ind2
IRIS_313-11193,GAHB AWY 2-1,Thailand,IRGC 36549-2,3KG,ind3
IRIS_313-11194,KHAO PAH 8-5-38,Thailand,IRGC 36587-3,3KG,admixed-ind
IRIS_313-11195,KHAW KAR 13,Myanmar,IRGC 36711-1,3KG,admixed-jap
IRIS_313-11196,DICULA,Philippines,IRGC 36729-2,3KG,admixed-ind
IRIS_313-11197,K 17-9-1-1,India,IRGC 36778-1,3KG,admixed-ind
IRIS_313-11198,K 78-13,India,IRGC 36794-2,3KG,tej
IRIS_313-11199,SYNTHETIC SATIVA,India,IRGC 36842-2,3KG,admixed-ind
IRIS_313-11200,BR 52-87-1,India,IRGC 36849-2,3KG,ind2
IRIS_313-11201,CHING HSI 15,China,IRGC 36852-1,3KG,tej
IRIS_313-11202,4583,China,IRGC 36894-2,3KG,tej
IRIS_313-11203,GOCHIAGARI,Bangladesh,IRGC 37086-2,3KG,ind3
IRIS_313-11204,KARTIKHAMA,Bangladesh,IRGC 37149-2,3KG,ind3
IRIS_313-11205,KAZALSAIL,Bangladesh,IRGC 37161-2,3KG,ind3
IRIS_313-11206,KUMRI,Bangladesh,IRGC 37182-2,3KG,ind2
IRIS_313-11207,PAIRJAT,Bangladesh,IRGC 37252-2,3KG,ind3
IRIS_313-11208,PARIJAT,Bangladesh,IRGC 37272-2,3KG,ind3
IRIS_313-11209,VADAI,Bangladesh,IRGC 37341-3,3KG,ind3
IRIS_313-11210,ZARBASAIL,Bangladesh,IRGC 37346-1,3KG,aus
IRIS_313-11211,KADAMSAIL,Bangladesh,IRGC 37468-2,3KG,ind3
IRIS_313-11212,KALOBONA,Bangladesh,IRGC 37478-2,3KG,ind3
IRIS_313-11213,NARIKEL BADI,Bangladesh,IRGC 37550-1,3KG,aus
IRIS_313-11214,SHITTA AMAN,Bangladesh,IRGC 37596-1,3KG,aus
IRIS_313-11216,KHAMA 1183,Bangladesh,IRGC 37685-2,3KG,aus
IRIS_313-11217,LAL AMAN 207,Bangladesh,IRGC 37754-1,3KG,admixed
IRIS_313-11218,BADSHABHOG 4-60,Bangladesh,IRGC 37793-2,3KG,aro
IRIS_313-11219,BLACK 28-564,Bangladesh,IRGC 37815-2,3KG,ind3
IRIS_313-11220,CHITRAJ 14-134,Bangladesh,IRGC 37837-2,3KG,ind3
IRIS_313-11221,CYLINDRICAL 30-605,Bangladesh,IRGC 37845-2,3KG,ind3
IRIS_313-11222,DUDHSWAR 15-157,Bangladesh,IRGC 37967-2,3KG,ind3
IRIS_313-11223,OVAL RED 29 B 601,Bangladesh,IRGC 38130-2,3KG,admixed
IRIS_313-11224,PATNAI 31-679,Bangladesh,IRGC 38149-2,3KG,ind3
IRIS_313-11225,SADAJIRA (DEEP STRAW) 16-194,Bangladesh,IRGC 38251-2,3KG,ind3
IRIS_313-11226,SADAJIRA 19-258,Bangladesh,IRGC 38293-2,3KG,ind3
IRIS_313-11227,SADAJIRA 19-317,Bangladesh,IRGC 38344-2,3KG,ind3
IRIS_313-11228,SADAJIRA 19-339,Bangladesh,IRGC 38361-2,3KG,ind3
IRIS_313-11229,STRAW 23-428,Bangladesh,IRGC 38416-2,3KG,ind3
IRIS_313-11230,STRAW 23-438,Bangladesh,IRGC 38426-2,3KG,ind3
IRIS_313-11231,STRAW 23-471,Bangladesh,IRGC 38456-3,3KG,ind3
IRIS_313-11232,R 146,India,IRGC 38606-1,3KG,aus
IRIS_313-11233,SPR 7284-57-5,Thailand,IRGC 38649-1,3KG,ind2
IRIS_313-11234,LIGUNGTUNG,Philippines,IRGC 38786-1,3KG,ind2
IRIS_313-11235,PINILING DANIEL,Philippines,IRGC 38828-2,3KG,ind3
IRIS_313-11236,LIONG ORN,Nigeria,IRGC 38875-2,3KG,ind2
IRIS_313-11237,TAICHUNG SEN YU 214,Taiwan,IRGC 38899-1,3KG,ind2
IRIS_313-11238,IAC 1132,Brazil,IRGC 39052-1,3KG,trj
IRIS_313-11239,B 737 G-KN-23-1,Indonesia,IRGC 39203-2,3KG,ind2
IRIS_313-11240,CR 157-392-4,India,IRGC 39247-2,3KG,admixed-ind
IRIS_313-11241,BR 116-3B-53,Bangladesh,IRGC 39559-2,3KG,ind3
IRIS_313-11242,OR 117-8,India,IRGC 39680-2,3KG,ind3
IRIS_313-11243,RATNAGIRI 45-2,India,IRGC 39709-1,3KG,admixed-ind
IRIS_313-11244,W 1014-162,India,IRGC 39871-1,3KG,admixed-ind
IRIS_313-11245,RP 20-12,India,IRGC 40031-2,3KG,ind2
IRIS_313-11246,7516-14,Japan,IRGC 40090-3,3KG,tej
IRIS_313-11247,RP 1153-20-14,India,IRGC 40131-2,3KG,admixed-ind
IRIS_313-11248,NIAW KHAMIN,Thailand,IRGC 40222-1,3KG,trj
IRIS_313-11249,IR 4535-PP 23-6-8-1,Philippines,IRGC 40402-2,3KG,admixed-ind
IRIS_313-11250,IR 9560-2-6-3,Philippines,IRGC 40451-1,3KG,ind2
IRIS_313-11251,IR 4500-5-1-1,Philippines,IRGC 40552-2,3KG,ind2
IRIS_313-11252,ADR 52,India,IRGC 40638-2,3KG,ind3
IRIS_313-11253,SML CAMPONI,Surinam,IRGC 40642-1,3KG,admixed-ind
IRIS_313-11254,TIEN SOM,Viet Nam,IRGC 40759-2,3KG,ind2
IRIS_313-11255,ARC 7056,India,IRGC 40914-1,3KG,admixed-ind
IRIS_313-11256,ARC 12411,India,IRGC 41047-2,3KG,admixed-ind
IRIS_313-11257,ARC 12757,India,IRGC 41095-2,3KG,ind3
IRIS_313-11258,ARC 13502,India,IRGC 41126-2,3KG,aro
IRIS_313-11259,ARC 13515,India,IRGC 41134-2,3KG,aro
IRIS_313-11260,ARC 13591,India,IRGC 41177-2,3KG,admixed-ind
IRIS_313-11261,ARC 13785,India,IRGC 41218-2,3KG,ind2
IRIS_313-11262,ARC 13888,India,IRGC 41288-2,3KG,ind3
IRIS_313-11263,ARC 13919,India,IRGC 41313-2,3KG,admixed-ind
IRIS_313-11264,ARC 13934,India,IRGC 41325-2,3KG,ind3
IRIS_313-11265,ARC 14150,India,IRGC 41435-2,3KG,aus
IRIS_313-11266,ARC 14347,India,IRGC 41517-2,3KG,ind3
IRIS_313-11267,ARC 14358,India,IRGC 41523-2,3KG,ind3
IRIS_313-11268,ARC 14398,India,IRGC 41544-2,3KG,aro
IRIS_313-11269,ARC 14632,India,IRGC 41650-2,3KG,admixed
IRIS_313-11270,ARC 14663,India,IRGC 41671-2,3KG,aro
IRIS_313-11271,ARC 14737,India,IRGC 41729-2,3KG,ind3
IRIS_313-11272,ARC 14756,India,IRGC 41736-1,3KG,aus
IRIS_313-11273,ARC 14860,India,IRGC 41793-2,3KG,admixed-ind
IRIS_313-11274,ARC 14901,India,IRGC 41811-1,3KG,aus
IRIS_313-11275,ARC 14975,India,IRGC 41848-1,3KG,admixed-ind
IRIS_313-11276,ARC 15063,India,IRGC 41909-2,3KG,ind3
IRIS_313-11277,ARC 15129,India,IRGC 41938-1,3KG,aus
IRIS_313-11278,ARC 15319,India,IRGC 42007-1,3KG,admixed-ind
IRIS_313-11279,ARC 15455,India,IRGC 42040-2,3KG,admixed-ind
IRIS_313-11280,ARC 15486,India,IRGC 42055-3,3KG,ind2
IRIS_313-11281,ARC 15505,India,IRGC 42066-1,3KG,ind1
IRIS_313-11282,ARC 15589,India,IRGC 42096-2,3KG,ind3
IRIS_313-11283,ARC 15743,India,IRGC 42127-2,3KG,admixed-ind
IRIS_313-11284,ARC 18001,India,IRGC 42195-2,3KG,ind3
IRIS_313-11285,ARC 18064,India,IRGC 42237-1,3KG,ind3
IRIS_313-11286,ARC 18325,India,IRGC 42399-3,3KG,admixed-ind
IRIS_313-11287,ARC 18371,India,IRGC 42423-2,3KG,ind3
IRIS_313-11288,ARC 18434,India,IRGC 42429-2,3KG,admixed-ind
IRIS_313-11289,ARC 18578,India,IRGC 42459-2,3KG,aro
IRIS_313-11290,ARC 6579,India,IRGC 42510-1,3KG,admixed
IRIS_313-11291,ARC 7425,India,IRGC 42538-1,3KG,aus
IRIS_313-11292,ARC 10120,India,IRGC 42557-2,3KG,ind3
IRIS_313-11293,ARC 10975,India,IRGC 42611-2,3KG,aro
IRIS_313-11294,ARC 11245,India,IRGC 42651-2,3KG,ind3
IRIS_313-11295,ARC 11397,India,IRGC 42664-1,3KG,admixed-ind
IRIS_313-11296,ARC 12800,India,IRGC 42720-2,3KG,admixed-ind
IRIS_313-11297,ARC 13460,India,IRGC 42732-2,3KG,admixed-jap
IRIS_313-11298,ARC 13544,India,IRGC 42743-1,3KG,aus
IRIS_313-11299,ARC 14299,India,IRGC 42889-2,3KG,ind3
IRIS_313-11300,ARC 14709,India,IRGC 42976-2,3KG,ind3
IRIS_313-11301,ARC 14868,India,IRGC 43009-2,3KG,ind3
IRIS_313-11302,ARC 14899,India,IRGC 43016-1,3KG,admixed-ind
IRIS_313-11303,ARC 15097,India,IRGC 43053-1,3KG,admixed-ind
IRIS_313-11304,ARC 15163,India,IRGC 43106-1,3KG,ind3
IRIS_313-11305,ARC 15373,India,IRGC 43166-2,3KG,ind3
IRIS_313-11306,ARC 15385,India,IRGC 43174-1,3KG,admixed-ind
IRIS_313-11307,ARC 15387,India,IRGC 43175-2,3KG,ind3
IRIS_313-11308,ARC 15403,India,IRGC 43183-2,3KG,ind3
IRIS_313-11309,ARC 15862,India,IRGC 43242-1,3KG,ind3
IRIS_313-11310,ARC 15929,India,IRGC 43269-2,3KG,ind3
IRIS_313-11311,CICIH KAPUK,Indonesia,IRGC 43377-3,3KG,trj
IRIS_313-11312,PADI HITAM,Indonesia,IRGC 43496-3,3KG,ind2
IRIS_313-11313,PADI RENDAH,Indonesia,IRGC 43515-1,3KG,trj
IRIS_313-11314,PELAU,Indonesia,IRGC 43538-2,3KG,trj
IRIS_313-11315,PENDEK LAYUNG,Indonesia,IRGC 43542-2,3KG,ind2
IRIS_313-11316,RANTAT,Indonesia,IRGC 43563-3,3KG,ind2
IRIS_313-11317,SI RANTING,Indonesia,IRGC 43645-2,3KG,ind2
IRIS_313-11318,TUBU,Indonesia,IRGC 43677-2,3KG,ind2
IRIS_313-11319,KENCANA RANDAH,Indonesia,IRGC 43709-2,3KG,ind2
IRIS_313-11320,MAYAS PUTIH,Indonesia,IRGC 43727-2,3KG,ind2
IRIS_313-11321,GANDHISAIL,Bangladesh,IRGC 43826-2,3KG,ind3
IRIS_313-11322,JASURE AUS,Bangladesh,IRGC 43860-1,3KG,aus
IRIS_313-11323,JHORA,Bangladesh,IRGC 43862-1,3KG,aus
IRIS_313-11324,KALABOKRI,Bangladesh,IRGC 43872-1,3KG,aus
IRIS_313-11325,BLM 70,Philippines,IRGC 43989-3,3KG,admixed-ind
IRIS_313-11326,BR 51-115-4,Bangladesh,IRGC 43999-1,3KG,ind2
IRIS_313-11327,JAO' HAWN MAE JAN,Thailand,IRGC 44022-2,3KG,admixed-ind
IRIS_313-11328,PADI BURIH,Malaysia,IRGC 44081-1,3KG,trj
IRIS_313-11329,PADI JALAI BELA,Malaysia,IRGC 44084-1,3KG,trj
IRIS_313-11330,ALAMINOS,Philippines,IRGC 44268-2,3KG,admixed-ind
IRIS_313-11331,AMPIPIT,Philippines,IRGC 44272-2,3KG,ind2
IRIS_313-11334,DINGRAS,Philippines,IRGC 44402-1,3KG,admixed-ind
IRIS_313-11335,INANUPAN,Philippines,IRGC 44461-2,3KG,ind3
IRIS_313-11336,IREQUIN,Philippines,IRGC 44476-2,3KG,tej
IRIS_313-11337,LAWA AN,Philippines,IRGC 44544-2,3KG,trj
IRIS_313-11338,LOBANG (WHITE),Philippines,IRGC 44548-2,3KG,admixed-ind
IRIS_313-11339,MILAGROSA,Philippines,IRGC 44634-2,3KG,ind3
IRIS_313-11340,MINANOK,Philippines,IRGC 44637-2,3KG,trj
IRIS_313-11341,MINDANAO,Philippines,IRGC 44642-2,3KG,ind2
IRIS_313-11342,PODAO,Philippines,IRGC 44701-3,3KG,admixed-ind
IRIS_313-11343,PURTOK (MALAGKIT),Philippines,IRGC 44707-2,3KG,ind2
IRIS_313-11344,SAMON,Philippines,IRGC 44735-2,3KG,admixed-ind
IRIS_313-11345,WAGWAG,Philippines,IRGC 44802-1,3KG,admixed-ind
IRIS_313-11346,WAGWAG PUTI,Philippines,IRGC 44804-2,3KG,ind2
IRIS_313-11347,WAGWAG RAOIS,Philippines,IRGC 44805-1,3KG,admixed-ind
IRIS_313-11348,AUS PADDY (RED),India,IRGC 44978-1,3KG,aus
IRIS_313-11349,BACHHAIKALMA,India,IRGC 45003-2,3KG,ind3
IRIS_313-11350,BAJAL,India,IRGC 45024-2,3KG,aro
IRIS_313-11351,BANCHI,India,IRGC 45055-2,3KG,ind3
IRIS_313-11352,BUCHI,India,IRGC 45237-2,3KG,aro
IRIS_313-11353,CHILE BORO,India,IRGC 45297-2,3KG,aus
IRIS_313-11354,CAC 75,India,IRGC 45352-2,3KG,ind3
IRIS_313-11355,CN 44-40-7,India,IRGC 45368-1,3KG,admixed-ind
IRIS_313-11356,CR 44-1,India,IRGC 45397-3,3KG,aro
IRIS_313-11357,CR 579-1-3,India,IRGC 45443-2,3KG,admixed-ind
IRIS_313-11358,DADKHANI,India,IRGC 45454-2,3KG,ind3
IRIS_313-11359,DAHARNAGRA,India,IRGC 45465-2,3KG,ind3
IRIS_313-11360,JALADHI 1,India,IRGC 45858-2,3KG,admixed
IRIS_313-11361,KALIKALMA,India,IRGC 45996-2,3KG,ind3
IRIS_313-11362,KEYA NUNIA,India,IRGC 46117-2,3KG,aro
IRIS_313-11363,KHEJURTHUPI,India,IRGC 46137-2,3KG,ind3
IRIS_313-11364,KHIRPULI,India,IRGC 46143-3,3KG,admixed
IRIS_313-11365,LANJALI,India,IRGC 46236-2,3KG,admixed-ind
IRIS_313-11367,MAKARANDASAIL,India,IRGC 46289-2,3KG,ind3
IRIS_313-11368,PANIKELASH,India,IRGC 46500-2,3KG,ind3
IRIS_313-11369,RANACHANDRABHOG,India,IRGC 46567-2,3KG,ind3
IRIS_313-11370,SACHI,India,IRGC 46612-2,3KG,ind3
IRIS_313-11371,SATHI,India,IRGC 46659-1,3KG,aus
IRIS_313-11372,SUFALDHULA,India,IRGC 46698-2,3KG,ind3
IRIS_313-11373,T 3,India,IRGC 46760-2,3KG,aro
IRIS_313-11374,W 398,India,IRGC 46787-1,3KG,aus
IRIS_313-11375,CODE NO 31225,India,IRGC 46865-2,3KG,admixed
IRIS_313-11376,TOS 7536,Cote d'Ivoire,IRGC 46985-2,3KG,trj
IRIS_313-11377,AMARILLO,Philippines,IRGC 47120-1,3KG,ind2
IRIS_313-11379,CADIDIT (GLUT),Philippines,IRGC 47161-1,3KG,trj
IRIS_313-11380,CA ONG (WHITE),Philippines,IRGC 47174-1,3KG,admixed-jap
IRIS_313-11381,LINANGAN,Philippines,IRGC 47255-2,3KG,admixed-ind
IRIS_313-11382,HONDERAWALA,Sri Lanka,IRGC 47372-1,3KG,ind3
IRIS_313-11383,CHIEM NGAN,Viet Nam,IRGC 47488-1,3KG,admixed-ind
IRIS_313-11384,CHIEM TONG NHAT 1,Viet Nam,IRGC 47496-1,3KG,admixed-ind
IRIS_313-11385,IR 9747 SEL,Philippines,IRGC 47695-1,3KG,admixed-ind
IRIS_313-11386,KHAO DAWK MALI TIA,Thailand,IRGC 47773-2,3KG,admixed-ind
IRIS_313-11387,SAHM RUANG NAK,Thailand,IRGC 47818-1,3KG,admixed-ind
IRIS_313-11388,GLAM,Thailand,IRGC 47978-2,3KG,admixed-ind
IRIS_313-11389,LEUANG PRA TAHN,Thailand,IRGC 48292-2,3KG,ind2
IRIS_313-11390,NAH MOI,Thailand,IRGC 48353-2,3KG,admixed-ind
IRIS_313-11391,NIAW DAM,Thailand,IRGC 48387-2,3KG,ind3
IRIS_313-11392,SA MER,Thailand,IRGC 48454-2,3KG,ind3
IRIS_313-11393,SAWNG RUANG,Thailand,IRGC 48458-2,3KG,admixed-ind
IRIS_313-11394,INDO NO 13030,Indonesia,IRGC 48630-2,3KG,ind2
IRIS_313-11395,INDO NO 13075,Indonesia,IRGC 48665-3,3KG,ind2
IRIS_313-11396,MAS,Indonesia,IRGC 48758-1,3KG,trj
IRIS_313-11397,TAMBU,Indonesia,IRGC 48932-1,3KG,trj
IRIS_313-11398,TODULI,Indonesia,IRGC 48942-2,3KG,ind2
IRIS_313-11399,RAYDHAN 1,Bangladesh,IRGC 49127-2,3KG,ind3
IRIS_313-11400,ECHORSAIL,Bangladesh,IRGC 49182-1,3KG,ind3
IRIS_313-11401,MOTANGA,Bangladesh,IRGC 49242-2,3KG,aro
IRIS_313-11402,SUITE JORA,Bangladesh,IRGC 49257-2,3KG,ind3
IRIS_313-11403,AEB 368 RIP P TYPE ADT,India,IRGC 49359-2,3KG,admixed-ind
IRIS_313-11404,AMON 4,Bangladesh,IRGC 49375-2,3KG,ind3
IRIS_313-11405,APYO DAW GYI,Myanmar,IRGC 49386-2,3KG,admixed-ind
IRIS_313-11406,A 28-6,Myanmar,IRGC 49409-2,3KG,admixed-ind
IRIS_313-11407,BATCHA BHOG (SCENTED),India,IRGC 49440-2,3KG,ind3
IRIS_313-11408,CHITRAKALI,India,IRGC 49524-2,3KG,ind3
IRIS_313-11409,CUTTACK 29,India,IRGC 49573-1,3KG,ind3
IRIS_313-11410,C 28-16,Myanmar,IRGC 49580-1,3KG,admixed-ind
IRIS_313-11411,DONRADAO,Brazil,IRGC 49604-1,3KG,ind3
IRIS_313-11413,KALAR KAR,India,IRGC 49737-2,3KG,admixed
IRIS_313-11414,KARUNJEERAGA SAMBA,India,IRGC 49774-1,3KG,ind3
IRIS_313-11415,KAUSHI,Nigeria,IRGC 49789-1,3KG,admixed-ind
IRIS_313-11416,KONAMANI,India,IRGC 49806-1,3KG,ind3
IRIS_313-11417,LAWANGAI,India,IRGC 49850-2,3KG,admixed
IRIS_313-11418,MATALI,India,IRGC 49891-2,3KG,ind3
IRIS_313-11419,MUTHA SAMBA,India,IRGC 49924-2,3KG,ind3
IRIS_313-11420,PISINI,India,IRGC 50035-2,3KG,ind3
IRIS_313-11421,TULASIBAS,India,IRGC 50192-2,3KG,ind3
IRIS_313-11422,13946 (GUANG QIU 15),China,IRGC 50320-1,3KG,ind1
IRIS_313-11423,C 1016-1,Philippines,IRGC 50368-1,3KG,ind2
IRIS_313-11424,SINAPLED,Philippines,IRGC 50402-1,3KG,trj
IRIS_313-11425,BRANCO PRECOCE,Brazil,IRGC 50441-2,3KG,admixed-jap
IRIS_313-11426,CHATAO,Brazil,IRGC 50456-1,3KG,trj
IRIS_313-11427,GEM OU BRAZIL,Brazil,IRGC 50470-1,3KG,trj
IRIS_313-11428,MARANHAO BRANCO,Brazil,IRGC 50503-1,3KG,trj
IRIS_313-11429,MIUDO ROXO,Brazil,IRGC 50517-1,3KG,trj
IRIS_313-11431,C 166-135,Philippines,IRGC 50633-1,3KG,ind2
IRIS_313-11432,ISWAR KORA,India,IRGC 50674-1,3KG,admixed-ind
IRIS_313-11433,MR 136-1,India,IRGC 50707-1,3KG,ind1
IRIS_313-11434,FORTUNA BLANCO (SAN MARCOS),Colombia,IRGC 50764-1,3KG,trj
IRIS_313-11435,MONMINEUPLEU,Cote d'Ivoire,IRGC 50873-1,3KG,trj
IRIS_313-11436,SAKAZELE (538),Cote d'Ivoire,IRGC 50880-1,3KG,trj
IRIS_313-11437,CAMPECHE A 79,Mexico,IRGC 51102-1,3KG,ind2
IRIS_313-11438,ZACATEPEC A 79,Mexico,IRGC 51116-1,3KG,ind2
IRIS_313-11439,NIRA PRIETO,Cuba,IRGC 51145-1,3KG,trj
IRIS_313-11441,NALA,Philippines,IRGC 51247-1,3KG,trj
IRIS_313-11442,ARC 18502,India,IRGC 51749-2,3KG,admixed-ind
IRIS_313-11443,ARC 18533,India,IRGC 51756-1,3KG,admixed-ind
IRIS_313-11445,NCS 102,India,IRGC 51854-1,3KG,ind3
IRIS_313-11446,NAPDAI,India,IRGC 52009-1,3KG,ind3
IRIS_313-11447,TUNAGANNAPNANG,India,IRGC 52046-1,3KG,ind3
IRIS_313-11448,BARAMANJ,India,IRGC 52067-1,3KG,ind3
IRIS_313-11449,KODIA PHUL,India,IRGC 52168-1,3KG,admixed-ind
IRIS_313-11451,KALISAL,India,IRGC 52324-1,3KG,aro
IRIS_313-11452,LOCAL BHAT,India,IRGC 52343-1,3KG,aus
IRIS_313-11453,ZINYA KOLAMBA,India,IRGC 52402-1,3KG,ind3
IRIS_313-11454,BARI SUTAR,India,IRGC 52410-1,3KG,aus
IRIS_313-11455,CIPPI,India,IRGC 52415-1,3KG,aus
IRIS_313-11456,KOLAMBA,India,IRGC 52456-1,3KG,aus
IRIS_313-11458,KARAHANI,India,IRGC 52664-1,3KG,aus
IRIS_313-11460,SELHI,India,IRGC 52760-1,3KG,ind3
IRIS_313-11461,VAIKATHARYAN,India,IRGC 52805-1,3KG,ind3
IRIS_313-11462,SALSI,India,IRGC 52833-1,3KG,aus
IRIS_313-11463,KATSIYAM TABAO,Philippines,IRGC 52855-1,3KG,admixed-ind
IRIS_313-11464,CARAWI,Philippines,IRGC 52887-1,3KG,trj
IRIS_313-11465,DINORADO,Philippines,IRGC 52893-1,3KG,trj
IRIS_313-11467,MACAPAGAL,Philippines,IRGC 52927-1,3KG,ind2
IRIS_313-11471,CULALANSI,Philippines,IRGC 53109-1,3KG,ind2
IRIS_313-11472,BANGBANG,Philippines,IRGC 53131-1,3KG,admixed-ind
IRIS_313-11473,KINTOMAN (TOD DOY),Philippines,IRGC 53146-1,3KG,trj
IRIS_313-11476,KALIPINCH,India,IRGC 53271-1,3KG,admixed-ind
IRIS_313-11477,KANPURI,India,IRGC 53278-1,3KG,aus
IRIS_313-11478,LOCAL,India,IRGC 53300-1,3KG,admixed-ind
IRIS_313-11479,VANKALI,India,IRGC 53339-1,3KG,trj
IRIS_313-11480,PR 106,India,IRGC 53418-1,3KG,ind2
IRIS_313-11481,BINNAFUL,Bangladesh,IRGC 53479-1,3KG,aus
IRIS_313-11482,BONGEZA,Bangladesh,IRGC 53483-1,3KG,aus
IRIS_313-11483,BOTESHSHORE,Bangladesh,IRGC 53484-1,3KG,aus
IRIS_313-11484,EJALI,Bangladesh,IRGC 53500-1,3KG,aus
IRIS_313-11485,RAMINAD (GERMAN),Philippines,IRGC 53058-1,3KG,admixed-ind
IRIS_313-11486,KHAGRAI DIGHA,Bangladesh,IRGC 53529-3,3KG,admixed-ind
IRIS_313-11487,LALDIGHA,Bangladesh,IRGC 53541-1,3KG,ind3
IRIS_313-11489,KALU T 139,India,IRGC 53670-1,3KG,admixed-ind
IRIS_313-11490,ARC 15480,India,IRGC 53799-1,3KG,ind3
IRIS_313-11491,BIR BAHADUR,India,IRGC 53889-1,3KG,ind3
IRIS_313-11492,SIRHANTI,India,IRGC 53930-1,3KG,aus
IRIS_313-11493,AR 133,India,IRGC 53942-1,3KG,admixed-ind
IRIS_313-11494,IC 25690,India,IRGC 53973-1,3KG,admixed-jap
IRIS_313-11495,ANENOE,Indonesia,IRGC 54140-1,3KG,trj
IRIS_313-11496,BALU PRIA,Indonesia,IRGC 54158-1,3KG,trj
IRIS_313-11497,PADI ARA,Indonesia,IRGC 54252-2,3KG,ind3
IRIS_313-11498,PADI HEDENG (REKET HEDENG),Indonesia,IRGC 54266-1,3KG,trj
IRIS_313-11499,PADI UDANG,Indonesia,IRGC 54295-1,3KG,trj
IRIS_313-11500,SKK,Indonesia,IRGC 54356-1,3KG,ind3
IRIS_313-11505,K 1074,India,IRGC 55017-1,3KG,ind3
IRIS_313-11506,K 15591-4,India,IRGC 55043-1,3KG,admixed-ind
IRIS_313-11507,TV 30,Viet Nam,IRGC 55221-1,3KG,ind2
IRIS_313-11508,PAWNG AEW 1,Thailand,IRGC 55263-1,3KG,admixed-ind
IRIS_313-11509,PRADOO DAENG,Thailand,IRGC 55265-1,3KG,ind2
IRIS_313-11510,A 69-1,Sri Lanka,IRGC 55305-1,3KG,admixed-ind
IRIS_313-11511,WAGASAN (RED),Philippines,IRGC 55404-1,3KG,trj
IRIS_313-11512,OYAK PAKANG,Philippines,IRGC 55422-1,3KG,admixed-ind
IRIS_313-11513,CHATO,Ecuador,IRGC 55825-1,3KG,admixed-ind
IRIS_313-11515,BKN BR 1031-78-5-4,Thailand,IRGC 55927-1,3KG,ind2
IRIS_313-11516,IR 3839-1,Philippines,IRGC 55946-1,3KG,ind2
